time,counts
20-Jan-2021 (22:35:04.620484),2147448073.7615
20-Jan-2021 (22:35:06.427401),2147448066.4793
20-Jan-2021 (22:35:06.438493),2147448067.8762
20-Jan-2021 (22:35:08.239475),2147448093.5647
20-Jan-2021 (22:35:08.249491),2147448090.5874
20-Jan-2021 (22:35:10.053528),2147448091.8012
20-Jan-2021 (22:35:11.860560),2147448052.9836
20-Jan-2021 (22:35:11.870537),2147448061.1857
20-Jan-2021 (22:35:13.672989),2147448085.779
20-Jan-2021 (22:35:13.682964),2147448086.4874
20-Jan-2021 (22:35:15.416895),2147448067.0419
20-Jan-2021 (22:35:17.224338),2147448057.6761
20-Jan-2021 (22:35:17.235338),2147448095.2832
20-Jan-2021 (22:35:19.036795),2147448088.8712
20-Jan-2021 (22:35:19.047757),2147448072.1492
20-Jan-2021 (22:35:20.850743),2147448079.5092
20-Jan-2021 (22:35:20.861741),2147448075.497
20-Jan-2021 (22:35:22.662629),2147448090.7601
20-Jan-2021 (22:35:24.399600),2147448100.0989
20-Jan-2021 (22:35:24.409599),2147448098.0795
20-Jan-2021 (22:35:26.213742),2147448052.7293
20-Jan-2021 (22:35:26.224710),2147448100.79
20-Jan-2021 (22:35:28.024607),2147448089.7034
20-Jan-2021 (22:35:29.831541),2147448062.1599
20-Jan-2021 (22:35:29.841552),2147448073.3451
20-Jan-2021 (22:35:31.646482),2147448060.8385
20-Jan-2021 (22:35:31.656551),2147448085.9094
20-Jan-2021 (22:35:33.388493),2147448070.8848
20-Jan-2021 (22:35:33.399446),2147448080.3122
20-Jan-2021 (22:35:35.201440),2147448116.8842
20-Jan-2021 (22:35:37.008405),2147448095.7818
20-Jan-2021 (22:35:37.018387),2147448087.0513
20-Jan-2021 (22:35:38.821351),2147448111.8843
20-Jan-2021 (22:35:38.831253),2147448100.8311
20-Jan-2021 (22:35:40.635177),2147448079.8499
20-Jan-2021 (22:35:42.372268),2147448098.3641
20-Jan-2021 (22:35:42.382544),2147448115.7901
20-Jan-2021 (22:35:44.185281),2147448076.4442
20-Jan-2021 (22:35:44.197444),2147448076.3694
20-Jan-2021 (22:35:45.998153),2147448107.2294
20-Jan-2021 (22:35:47.805366),2147448079.8492
20-Jan-2021 (22:35:47.815338),2147448119.8337
20-Jan-2021 (22:35:49.618644),2147448121.9655
20-Jan-2021 (22:35:49.629553),2147448083.143
20-Jan-2021 (22:35:51.361673),2147448060.254
20-Jan-2021 (22:35:51.372261),2147448062.0526
20-Jan-2021 (22:35:53.173907),2147448097.3966
20-Jan-2021 (22:35:54.981608),2147448091.4077
20-Jan-2021 (22:35:54.991622),2147448117.1459
20-Jan-2021 (22:35:56.794601),2147448117.9924
20-Jan-2021 (22:35:56.805084),2147448110.4668
20-Jan-2021 (22:35:58.606072),2147448100.0431
20-Jan-2021 (22:36:00.344641),2147448128.3531
20-Jan-2021 (22:36:00.355108),2147448116.3802
20-Jan-2021 (22:36:02.157875),2147448096.3873
20-Jan-2021 (22:36:02.167848),2147448093.4926
20-Jan-2021 (22:36:03.970349),2147448112.8151
20-Jan-2021 (22:36:03.980523),2147448081.1463
20-Jan-2021 (22:36:05.783113),2147448110.512
20-Jan-2021 (22:36:07.590383),2147448091.756
20-Jan-2021 (22:36:07.600554),2147448094.2468
20-Jan-2021 (22:36:09.403354),2147448108.8286
20-Jan-2021 (22:36:09.413327),2147448075.9934
20-Jan-2021 (22:36:11.147150),2147448094.8401
20-Jan-2021 (22:36:12.955336),2147448073.6097
20-Jan-2021 (22:36:12.966072),2147448093.1328
20-Jan-2021 (22:36:14.767626),2147448100.8672
20-Jan-2021 (22:36:14.777745),2147448099.8595
20-Jan-2021 (22:36:16.580538),2147448101.1355
20-Jan-2021 (22:36:18.387063),2147448116.1474
20-Jan-2021 (22:36:18.396843),2147448092.4261
20-Jan-2021 (22:36:20.129572),2147448073.781
20-Jan-2021 (22:36:20.140672),2147448123.3685
20-Jan-2021 (22:36:21.943508),2147448078.7953
20-Jan-2021 (22:36:21.953670),2147448067.2983
20-Jan-2021 (22:36:23.754556),2147448103.408
20-Jan-2021 (22:36:25.564182),2147448103.0116
