time,counts
17-Jan-2021 (22:49:58.135316),2147449533
17-Jan-2021 (22:49:58.135511),2147450098
17-Jan-2021 (22:49:58.135707),2147451165
17-Jan-2021 (22:49:58.135902),2147450035
17-Jan-2021 (22:49:58.136098),2147450593
17-Jan-2021 (22:49:58.136293),2147449165
17-Jan-2021 (22:49:58.136489),2147453179
17-Jan-2021 (22:49:58.136684),2147449433
17-Jan-2021 (22:49:58.136881),2147449072
17-Jan-2021 (22:49:58.137078),2147449795
17-Jan-2021 (22:49:58.137275),2147450772
17-Jan-2021 (22:49:58.137472),2147448798
17-Jan-2021 (22:49:58.137668),2147449330
17-Jan-2021 (22:49:58.137864),2147447381
17-Jan-2021 (22:49:58.138537),2147453921
17-Jan-2021 (22:49:58.138737),2147452438
17-Jan-2021 (22:49:58.138934),2147451865
17-Jan-2021 (22:49:58.139131),2147448749
17-Jan-2021 (22:49:58.139326),2147451148
17-Jan-2021 (22:49:58.139522),2147453316
17-Jan-2021 (22:49:58.139717),2147452153
17-Jan-2021 (22:49:58.139913),2147451503
17-Jan-2021 (22:49:58.140108),2147448227
17-Jan-2021 (22:49:58.140304),2147450560
17-Jan-2021 (22:49:58.140499),2147450474
17-Jan-2021 (22:49:58.140694),2147450337
17-Jan-2021 (22:49:58.140891),2147451240
17-Jan-2021 (22:49:58.141087),2147449656
17-Jan-2021 (22:49:58.141282),2147453206
17-Jan-2021 (22:49:58.141477),2147450882
17-Jan-2021 (22:49:58.141726),2147448375
17-Jan-2021 (22:49:58.141926),2147449442
17-Jan-2021 (22:49:58.142122),2147448370
17-Jan-2021 (22:49:58.142319),2147445447
17-Jan-2021 (22:49:58.142515),2147447650
17-Jan-2021 (22:49:58.142710),2147451539
17-Jan-2021 (22:49:58.142907),2147452569
17-Jan-2021 (22:49:58.143103),2147452891
17-Jan-2021 (22:49:58.143298),2147451792
17-Jan-2021 (22:49:58.143492),2147452494
17-Jan-2021 (22:49:58.143688),2147448508
17-Jan-2021 (22:49:58.143885),2147450294
17-Jan-2021 (22:49:58.144080),2147452049
17-Jan-2021 (22:49:58.144274),2147450700
17-Jan-2021 (22:49:58.144470),2147451556
17-Jan-2021 (22:49:58.144665),2147451040
17-Jan-2021 (22:49:58.144861),2147451310
17-Jan-2021 (22:49:58.145057),2147448120
17-Jan-2021 (22:49:58.145252),2147449430
17-Jan-2021 (22:49:58.145448),2147452175
17-Jan-2021 (22:49:58.145644),2147449161
17-Jan-2021 (22:49:58.145839),2147451251
17-Jan-2021 (22:49:58.146035),2147449583
17-Jan-2021 (22:49:58.146232),2147448786
17-Jan-2021 (22:49:58.146427),2147450760
17-Jan-2021 (22:49:58.146623),2147449361
17-Jan-2021 (22:49:58.146819),2147453204
17-Jan-2021 (22:49:58.147014),2147450109
17-Jan-2021 (22:49:58.147210),2147451249
17-Jan-2021 (22:49:58.147404),2147450503
17-Jan-2021 (22:49:58.147599),2147451134
17-Jan-2021 (22:49:58.147794),2147451315
17-Jan-2021 (22:49:58.148006),2147453509
17-Jan-2021 (22:49:58.148202),2147449083
17-Jan-2021 (22:49:58.148397),2147449845
17-Jan-2021 (22:49:58.148593),2147450908
17-Jan-2021 (22:49:58.148788),2147450932
17-Jan-2021 (22:49:58.148983),2147449907
17-Jan-2021 (22:49:58.149177),2147446482
17-Jan-2021 (22:49:58.149372),2147448172
17-Jan-2021 (22:49:58.149568),2147450953
17-Jan-2021 (22:49:58.149764),2147450860
17-Jan-2021 (22:49:58.149959),2147451809
17-Jan-2021 (22:49:58.150154),2147450463
17-Jan-2021 (22:49:58.150351),2147447846
17-Jan-2021 (22:49:58.150546),2147449281
17-Jan-2021 (22:49:58.150742),2147450466
17-Jan-2021 (22:49:58.150938),2147448413
17-Jan-2021 (22:49:58.151133),2147451716
17-Jan-2021 (22:49:58.151327),2147450493
17-Jan-2021 (22:49:58.151523),2147450702
17-Jan-2021 (22:49:58.151718),2147453105
17-Jan-2021 (22:49:58.151914),2147448069
17-Jan-2021 (22:49:58.152109),2147451810
17-Jan-2021 (22:49:58.152305),2147452313
17-Jan-2021 (22:49:58.152499),2147453562
17-Jan-2021 (22:49:58.152695),2147452138
17-Jan-2021 (22:49:58.152890),2147450138
17-Jan-2021 (22:49:58.153086),2147450652
17-Jan-2021 (22:49:58.153281),2147450012
17-Jan-2021 (22:49:58.153477),2147450206
17-Jan-2021 (22:49:58.153672),2147450524
17-Jan-2021 (22:49:58.153868),2147449373
17-Jan-2021 (22:49:58.154063),2147450718
17-Jan-2021 (22:49:58.154258),2147447927
17-Jan-2021 (22:49:58.154454),2147450154
17-Jan-2021 (22:49:58.154650),2147452403
17-Jan-2021 (22:49:58.154846),2147449040
17-Jan-2021 (22:49:58.155041),2147451867
17-Jan-2021 (22:49:58.155236),2147449957
17-Jan-2021 (22:49:58.155431),2147453176
17-Jan-2021 (22:49:58.155625),2147449521
17-Jan-2021 (22:49:58.155820),2147451867
17-Jan-2021 (22:49:58.156015),2147452266
17-Jan-2021 (22:49:58.156211),2147447355
17-Jan-2021 (22:49:58.156407),2147449015
17-Jan-2021 (22:49:58.156603),2147451660
17-Jan-2021 (22:49:58.156798),2147452458
17-Jan-2021 (22:49:58.156993),2147449737
17-Jan-2021 (22:49:58.157190),2147447290
17-Jan-2021 (22:49:58.157385),2147449727
17-Jan-2021 (22:49:58.157580),2147451752
17-Jan-2021 (22:49:58.157775),2147450923
17-Jan-2021 (22:49:58.157996),2147451634
17-Jan-2021 (22:49:58.158194),2147450987
17-Jan-2021 (22:49:58.158389),2147450929
17-Jan-2021 (22:49:58.158585),2147450462
17-Jan-2021 (22:49:58.158779),2147450960
17-Jan-2021 (22:49:58.158975),2147450433
17-Jan-2021 (22:49:58.159169),2147451208
17-Jan-2021 (22:49:58.159365),2147448895
17-Jan-2021 (22:49:58.159561),2147449524
17-Jan-2021 (22:49:58.159755),2147453526
17-Jan-2021 (22:49:58.159950),2147451515
17-Jan-2021 (22:49:58.160145),2147450252
17-Jan-2021 (22:49:58.160340),2147448878
17-Jan-2021 (22:49:58.160536),2147451458
17-Jan-2021 (22:49:58.160731),2147448689
17-Jan-2021 (22:49:58.160926),2147452323
17-Jan-2021 (22:49:58.161121),2147451737
17-Jan-2021 (22:49:58.161348),2147449862
17-Jan-2021 (22:49:58.161545),2147448952
17-Jan-2021 (22:49:58.161741),2147448844
17-Jan-2021 (22:49:58.161936),2147451328
17-Jan-2021 (22:49:58.162131),2147447100
17-Jan-2021 (22:49:58.162327),2147454619
17-Jan-2021 (22:49:58.162522),2147450284
17-Jan-2021 (22:49:58.162717),2147450188
17-Jan-2021 (22:49:58.162911),2147449141
17-Jan-2021 (22:49:58.163106),2147450443
17-Jan-2021 (22:49:58.163301),2147453980
17-Jan-2021 (22:49:58.163496),2147449537
17-Jan-2021 (22:49:58.163690),2147449681
17-Jan-2021 (22:49:58.163885),2147451049
17-Jan-2021 (22:49:58.164079),2147450497
17-Jan-2021 (22:49:58.164274),2147449949
17-Jan-2021 (22:49:58.164469),2147451581
17-Jan-2021 (22:49:58.164663),2147452169
17-Jan-2021 (22:49:58.164858),2147450105
17-Jan-2021 (22:49:58.165053),2147451584
17-Jan-2021 (22:49:58.165248),2147448467
17-Jan-2021 (22:49:58.165444),2147447818
17-Jan-2021 (22:49:58.165640),2147449978
17-Jan-2021 (22:49:58.165835),2147450137
17-Jan-2021 (22:49:58.166031),2147452588
17-Jan-2021 (22:49:58.166226),2147451665
17-Jan-2021 (22:49:58.166421),2147450581
17-Jan-2021 (22:49:58.166616),2147450356
17-Jan-2021 (22:49:58.166811),2147451829
17-Jan-2021 (22:49:58.167006),2147450881
17-Jan-2021 (22:49:58.167201),2147450150
17-Jan-2021 (22:49:58.167396),2147451254
17-Jan-2021 (22:49:58.167591),2147449418
17-Jan-2021 (22:49:58.167786),2147448189
17-Jan-2021 (22:49:58.168001),2147451857
17-Jan-2021 (22:49:58.168198),2147448094
17-Jan-2021 (22:49:58.168395),2147447824
17-Jan-2021 (22:49:58.168589),2147449153
17-Jan-2021 (22:49:58.168784),2147451028
17-Jan-2021 (22:49:58.168979),2147446393
